Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
23/03/2021 06:00,53476.49,53750,52933.03,53300,328.47,17523890.87,53350.86
23/03/2021 07:00,53300,54260.52,53300,54178.74,178.7,9602205.09,53733.26
23/03/2021 08:00,54196.49,54643,53833.08,54345.62,313.56,17013211.3,54258.76
23/03/2021 09:00,54345.62,54695,54238.61,54600,117.9,6413431.25,54398.27
23/03/2021 10:00,54632.6,54816.25,54458.03,54673.45,150.89,8242459.86,54626.32
23/03/2021 11:00,54702.98,54812.38,54056.6,54251.28,150.93,8235440.85,54563.97
23/03/2021 12:00,54244,55249.98,54244,55108.36,302.62,16639882.73,54986.2
23/03/2021 13:00,55138.64,55467.69,55037.19,55276.83,188.74,10430928.02,55267.49
23/03/2021 14:00,55279,55381.49,54726.53,55168.9,260.63,14366592.32,55122.81
23/03/2021 15:00,55185.69,55349.95,54950.53,55177.36,273.69,15112341.46,55216.69
23/03/2021 16:00,55172.6,55776.86,54855.76,55552.81,240.45,13326134.34,55420.59
23/03/2021 17:00,55579,55814.67,55440,55732.03,214.54,11940986.79,55657.49
23/03/2021 18:00,55735.94,55866.44,55367.44,55370.21,165.18,9194171.98,55661.54
23/03/2021 19:00,55366,55551.25,54808.03,55009.03,237.62,13095357.96,55111.57
23/03/2021 20:00,55002.53,55067.67,54318.86,54453.83,308.62,16906093.48,54780.16
23/03/2021 21:00,54453.83,54746.21,54180,54667.74,123.1,6702668.45,54447.77
23/03/2021 22:00,54627.14,54899.13,54361.81,54390.52,130.61,7144000.05,54697.21
23/03/2021 23:00,54397.44,54816.99,54339.51,54361.57,116.11,6336294.62,54570.84
24/03/2021 00:00,54360.07,54630.34,53556.22,53694.87,172.68,9324967.27,54000.28
24/03/2021 01:00,53691.83,54549.88,53520,54467.05,89.13,4813857.09,54009.76
24/03/2021 02:00,54475.09,54624.03,54340.8,54422.23,127.85,6961126.27,54446.11
24/03/2021 03:00,54396.73,54728.2,54055.08,54351.78,77.64,4227433.47,54449.66
24/03/2021 04:00,54342.42,54563.04,54000,54097.53,94.18,5117348.59,54337.49
24/03/2021 05:00,54071.65,54300,53756.02,54152,179.31,9686338.02,54018.91
24/03/2021 06:00,54094.99,55000,53719.51,54665.89,139.38,7580397.53,54385.41
24/03/2021 07:00,54667.99,55598,54617.93,55500,334.22,18486305.85,55311.15
24/03/2021 08:00,55481.53,56366,55478.6,56311.99,319.65,17928851.87,56089.83
24/03/2021 09:00,56312.55,56687.83,56312.55,56404.49,217.3,12277887.08,56501.78
24/03/2021 10:00,56440.13,56775,56006.63,56400,178.06,10030557.37,56331.32
24/03/2021 11:00,56424.8,56636.6,56260.1,56598.78,129.5,7309207.11,56441.19
24/03/2021 12:00,56557.61,57059.2,56557.61,56949.59,303.06,17236821.31,56875.76
24/03/2021 13:00,56949.88,57207.33,56329.26,56785.26,263.84,14999920.5,56852.39
24/03/2021 14:00,56777,56944.57,56438.06,56512.22,321.17,18203936.76,56679.87
24/03/2021 15:00,56527.23,56632.96,55981,56263.04,412.54,23200339.12,56238.05
24/03/2021 16:00,56281.87,56365.98,55724.14,55730.63,377.12,21107374.36,55970.29
24/03/2021 17:00,55727.43,56370.7,55583.62,56137.72,140.27,7853738.71,55988.65
24/03/2021 18:00,56136.14,56328.15,55290,55292.66,347.33,19376389.32,55786.09
24/03/2021 19:00,55351.95,55475,54567.91,54703.59,416.11,22905264.45,55046.4
24/03/2021 20:00,54703.59,54703.59,53137.09,54050.26,589.14,31736661.1,53869.59
24/03/2021 21:00,54015.93,54241.54,53532.91,53693.8,491.64,26461210.69,53822.71
24/03/2021 22:00,53727.52,53727.52,51638.76,52513.93,787.04,41355252.29,52545.26
24/03/2021 23:00,52496.52,52957.57,52259.52,52287.52,359.39,18904091.46,52600.43
25/03/2021 00:00,52281.77,52783.51,51961.44,52615.7,163.25,8561141.58,52440.67
25/03/2021 01:00,52613.11,52896.85,51703.58,51815.06,235.47,12339316.01,52402.8
25/03/2021 02:00,51787.56,52518.93,51503,52250.06,244.57,12727799.73,52042.55
25/03/2021 03:00,52261.32,52563.55,51820,52113.17,157.21,8197720.24,52145.5
25/03/2021 04:00,52129.52,52505.23,51900,52269.47,243.09,12698194.3,52235.58
25/03/2021 05:00,52236,52890.3,52141.34,52713.98,177.76,9361934.18,52665.23
25/03/2021 06:00,52711.67,53271.59,52671.02,52977.83,273.7,14501969.08,52985.67
25/03/2021 07:00,52950.8,53144.58,52205,52235.6,154.36,8144992.22,52767.44
25/03/2021 08:00,52245.78,52789.69,52070.08,52612.92,210.25,11014758.69,52388.65
25/03/2021 09:00,52593.68,53004.84,52363.48,52935.23,125,6589648.58,52716.02
25/03/2021 10:00,52956.19,53074.53,52524.76,52995.78,212.55,11226075.91,52816.22
25/03/2021 11:00,53012.34,53155.52,52129.63,52135.27,324.01,17012199.08,52505.65
25/03/2021 12:00,52129.18,52295.25,50360,51083.17,986.57,50489578.13,51176.7
25/03/2021 13:00,51042.21,51961.54,50411.98,51656.62,385.78,19765276.86,51234.06
25/03/2021 14:00,51641.52,52116.28,51042.24,51280.28,286.53,14762689.74,51522.66
25/03/2021 15:00,51279.33,51526.54,50608.76,50950,505.11,25806946.65,51091.68
25/03/2021 16:00,50990.76,51718.37,50555,51322.51,443.49,22637667.97,51044.42
25/03/2021 17:00,51322.53,51818.06,51116.47,51646.57,186.95,9641166.59,51570.73
25/03/2021 18:00,51638.14,52561.95,51496.29,52238.44,217.15,11295479.22,52017.32
25/03/2021 19:00,52238.82,52295.2,51636.8,52184.05,279.1,14538156.46,52089.26
25/03/2021 20:00,52223.72,52690.66,51825.4,52000,228.34,11946264.14,52318.7
25/03/2021 21:00,52000,52588.4,51975.65,52444.34,204.51,10685386.96,52249.71
25/03/2021 22:00,52469.99,52708,51628.67,51755.85,290.12,15186005.18,52344.04
25/03/2021 23:00,51766.21,52053.23,51223.37,51326.11,147.75,7628955.56,51633.68
26/03/2021 00:00,51292.65,52286.4,51263.38,52113.47,116.22,6027501.99,51861.16
